let geocoded_ice = 
`recipient_name,total_obligated_amount,Country,Address,County,City,State,"Zip4 Code","Geocodio Latitude","Geocodio Longitude","Geocodio Accuracy Score","Geocodio Accuracy Type","Geocodio Address Line 1","Geocodio Address Line 2","Geocodio Address Line 3","Geocodio House Number","Geocodio Street","Geocodio Unit Type","Geocodio Unit Number","Geocodio City","Geocodio State","Geocodio County","Geocodio Postal Code","Geocodio Country","Geocodio Source"
"VARIQ CORPORATION",30171225.41,USA,"2600 TOWER OAKS BLVD STE 300",ROCKVILLE,MONTGOMERY,MD,208524246,39.062454,-77.154223,1,rooftop,"2600 Tower Oaks Blvd","Ste 300","Rockville, MD 20852",2600,"Tower Oaks Blvd",Ste,300,Rockville,MD,"Montgomery County",20852,US,Montgomery
"THOMSON REUTERS SPECIAL SERVICES LLC",30124083.17,USA,"1410 SPRING HILL ROAD",MCLEAN,FAIRFAX,VA,221023058,38.932679,-77.235514,1,rooftop,"1410 Spring Hill Rd",,"Mc Lean, VA 22102",1410,"Spring Hill Rd",,,"Mc Lean",VA,"Fairfax County",22102,US,Fairfax
"GRANT THORNTON LLP",30027688.59,USA,"333 JOHN CARLYLE ST STE 500",ALEXANDRIA,"ALEXANDRIA (CITY)",VA,223145767,38.803845,-77.062169,1,rooftop,"333 John Carlyle St","Ste 500","Alexandria, VA 22314",333,"John Carlyle St",Ste,500,Alexandria,VA,"Alexandria City",22314,US,"City of Alexandria"
"BOWHEAD MARINE SUPPORT SERVICES LLC",29452425.22,USA,"1000 SHILOH RD",PLANO,COLLIN,TX,750747221,33.011286,-96.664223,1,rooftop,"1000 Shiloh Rd",,"Plano, TX 75074",1000,"Shiloh Rd",,,Plano,TX,"Collin County",75074,US,"City of Plano"
"ATLANTIC DIVING SUPPLY, INC.",29037424.76,USA,"621 LYNNHAVEN PKWY","VIRGINIA BEACH","VIRGINIA BEACH (CITY)",VA,234527383,36.827732,-76.067968,1,rooftop,"621 Lynnhaven Pkwy",,"Virginia Beach, VA 23452",621,"Lynnhaven Pkwy",,,"Virginia Beach",VA,"Virginia Beach City",23452,US,"Virginia Beach"
"AVER LLC",27884679.87,USA,"10 G ST NE SUITE 600A",WASHINGTON,"DISTRICT OF COLUMBIA",DC,200024213,38.899133,-77.008114,1,rooftop,"10 G St NE","Ste 600","Washington, DC 20002",10,"G St NE",Ste,600,Washington,DC,"District of Columbia",20002,US,"Statewide (City of Washington)"
"CHANGEIS, INC.",27432039.3,USA,"1530 WILSON BLVD",ARLINGTON,ARLINGTON,VA,222092418,38.894363,-77.075153,1,rooftop,"1530 Wilson Blvd",,"Arlington, VA 22209",1530,"Wilson Blvd",,,Arlington,VA,"Arlington County",22209,US,Arlington
"LUKOS, LLC",27216245.02,USA,"800 S HARBOUR ISLAND BLVD",TAMPA,HILLSBOROUGH,FL,336025709,27.936783,-82.452691,1,rooftop,"800 S Harbour Island Blvd",,"Tampa, FL 33602",800,"S Harbour Island Blvd",,,Tampa,FL,"Hillsborough County",33602,US,"Hillsborough (Hillsborough County CC BY 4.0)"
"SALIENT CRGT, INC.",26535189.91,USA,"4000 LEGATO RD STE 600",FAIRFAX,FAIRFAX,VA,220334055,38.865809,-77.365216,1,rooftop,"4000 Legato Rd","Ste 600","Fairfax, VA 22033",4000,"Legato Rd",Ste,600,Fairfax,VA,"Fairfax County",22033,US,Fairfax
"KCI-ACUITY, LLC",25649586.6,USA,"202 CHURCH ST SE STE 313A",LEESBURG,LOUDOUN,VA,201753032,39.113053,-77.563664,1,rooftop,"202 Church St SE","Ste 313","Leesburg, VA 20175",202,"Church St SE",Ste,313,Leesburg,VA,"Loudoun County",20175,US,Loudoun
