recipient_name,total_obligated_amount,Country,Address,County,City,State,Zip4 Code
"ITC FEDERAL, LLC",61928618.25,USA,4114 LEGATO RD,FAIRFAX,FAIRFAX,VA,220334057
NATIVE ENERGY & TECHNOLOGY INC,60769027.39,USA,12830 COGBURN,SAN ANTONIO,BEXAR,TX,782492230
"AIRCRAFT TRANSPORT SERVICES, INC.",55135016.45,USA,4285 SW MARTIN HWY,PALM CITY,MARTIN,FL,349908615
DELL FEDERAL SYSTEMS L.P,53330095.19,USA,1 DELL WAY,ROUND ROCK,WILLIAMSON,TX,786827000
ACUITY INC,52965156.3,USA,11710 PLAZA AMERICA DR STE 700,RESTON,FAIRFAX,VA,201904773
CHENEGA FACILITIES MANAGEMENT LLC,51590814.6,USA,5726 W HAUSMAN RD STE 100,SAN ANTONIO,BEXAR,TX,782491651
GUIDEHOUSE INC.,49249466.12,USA,1676 INTERNATIONAL DR STE 800,MC LEAN,FAIRFAX,VA,221023600
"ALETHIX, LLC",46705748.4,USA,1430 SPRING HILL RD STE 200,MC LEAN,FAIRFAX,VA,221023013
PRICE MODERN LLC,45867273.32,USA,2604 SISSON ST,BALTIMORE,BALTIMORE (CITY),MD,212113101
ACCENTURE FEDERAL SERVICES LLC,44264111.58,USA,800 NORTH GLEBE RD #300,ARLINGTON,ARLINGTON,VA,222031807
JSI TELECOM INC.,42462108.28,USA,15004 NORTHRIDGE DR # 100,CHANTILLY,FAIRFAX,VA,201513817
"INTEGRITYONE PARTNERS, INC.",42045608.17,USA,11325 RANDOM HILLS ROAD,FAIRFAX,FAIRFAX,VA,220306051
ALPHA OMEGA INTEGRATION LLC,39826166.54,USA,8150 LEESBURG PIKE STE 1010,VIENNA,FAIRFAX,VA,221822714
"SPECTRUM SECURITY SERVICES, INC.",39656944.83,USA,13967 HIGHWAY 94 STE 101,JAMUL,SAN DIEGO,CA,919353232
TALTON COMMUNICATIONS INC,38787485.02,USA,910 RAVENWOOD DR,SELMA,DALLAS,AL,367016723
"ANACAPA MICRO PRODUCTS, INC.",38612453.59,USA,1901 SOLAR DR STE 150,OXNARD,VENTURA,CA,930360630
"PANAMERICA COMPUTERS, INC.",38028005.66,USA,1386 BIG OAK RD,LURAY,PAGE,VA,228355233
CREDENCE MANAGEMENT SOLUTIONS LIMITED LIABILITY COMPANY,36071019.76,USA,8609 WESTWOOD CTR DR STE 300,VIENNA,FAIRFAX,VA,221827521
"AT&T ENTERPRISES, LLC",34351078.88,USA,7125 COLUMBIA GATEWAY,COLUMBIA,HOWARD,MD,210462552
"CREATIVE CORRECTIONS, LLC",33504752.78,USA,6675 CALDER AVE,BEAUMONT,JEFFERSON,TX,777066005
"DYNAMIS, INC.",33435187.31,USA,3130 FAIRVIEW PARK DR STE 300,FALLS CHURCH,FAIRFAX,VA,220424578
U.S. BANCORP,32450163.27,USA,800 NICOLLET MALL,MINNEAPOLIS,HENNEPIN,MN,554027000
ISS ACTION INC,32392183.29,USA,204 E MCKENZIE ST,PUNTA GORDA,CHARLOTTE,FL,339506073
"THUNDERCAT TECHNOLOGY, LLC",31737879.8,USA,1925 ISAAC NEWTON SQ STE 180,RESTON,FAIRFAX,VA,201905030
BLUE TECH INC.,31475937.93,USA,2251 SAN DIEGO AVE STE B155,SAN DIEGO,SAN DIEGO,CA,921102930
AHTNA SUPPORT & TRAINING SERVICES LLC,31406695.91,USA,110 W 38TH AVE STE 200D,ANCHORAGE,ANCHORAGE,AK,995035677
CHEVO CONSULTING LLC,31228267.56,USA,"2275 RESEARCH BLVD., STE 100",ROCKVILLE,MONTGOMERY,MD,208503340
VARIQ CORPORATION,30171225.41,USA,2600 TOWER OAKS BLVD STE 300,ROCKVILLE,MONTGOMERY,MD,208524246
THOMSON REUTERS SPECIAL SERVICES LLC,30124083.17,USA,1410 SPRING HILL ROAD,MCLEAN,FAIRFAX,VA,221023058
GRANT THORNTON LLP,30027688.59,USA,333 JOHN CARLYLE ST STE 500,ALEXANDRIA,ALEXANDRIA (CITY),VA,223145767
BOWHEAD MARINE SUPPORT SERVICES LLC,29452425.22,USA,1000 SHILOH RD,PLANO,COLLIN,TX,750747221
