Name,City,State,Zip,"Type Detailed*",Private,Operator,"Current Guaranteed Minimum","Average Daily Population","Current as of**","Geocodio Latitude","Geocodio Longitude","Geocodio Accuracy Score","Geocodio Accuracy Type","Geocodio Address Line 1","Geocodio Address Line 2","Geocodio Address Line 3","Geocodio House Number","Geocodio Street","Geocodio Unit Type","Geocodio Unit Number","Geocodio City","Geocodio State","Geocodio County","Geocodio Postal Code","Geocodio Country","Geocodio Source"
"TOOELE COUNTY JAIL",TOOELE,UT,84074,"USMS IGA",FALSE,COUNTY,,2,08/04/2025,40.530054,-112.326333,1,street_center,"Tooele Blvd",,"Tooele, UT 84074",,"Tooele Blvd",,,Tooele,UT,"Tooele County",84074,US,"TIGER/Line® dataset from the US Census Bureau"
"UINTA COUNTY JAIL",EVANSTON,WY,82930,"USMS IGA",FALSE,COUNTY,,2,08/04/2025,41.263582,-110.970008,1,street_center,"Uinta Dr",,"Evanston, WY 82930",,"Uinta Dr",,,Evanston,WY,"Uinta County",82930,US,"TIGER/Line® dataset from the US Census Bureau"
"WASHINGTON COUNTY JAIL (PURGATORY CORRECTIONAL FAC",HURRICANE,UT,84737,"USMS IGA",FALSE,COUNTY,,2,08/04/2025,37.145366,-113.367458,1,place,,,"Hurricane, UT 84737",,,,,Hurricane,UT,"Washington County",84737,US,"TIGER/Line® dataset from the US Census Bureau"
"BOURBON CO DET CENTER",PARIS,KY,40361,"USMS IGA",FALSE,COUNTY,,1,08/04/2025,38.201954,-84.323886,0.9,street_center,"Bourbon Acres Rd",,"Paris, KY 40361",,"Bourbon Acres Rd",,,Paris,KY,"Bourbon County",40361,US,"TIGER/Line® dataset from the US Census Bureau"
"LAKE COUNTY JAIL",TAVARES,FL,32778,IGSA,FALSE,COUNTY,,1,08/04/2025,28.767762,-81.725272,1,place,,,"Tavares, FL 32778",,,,,Tavares,FL,"Lake County",32778,US,"TIGER/Line® dataset from the US Census Bureau"
"LOGAN COUNTY JAIL",GUTHRIE,OK,73044,"USMS IGA",FALSE,COUNTY,,1,08/04/2025,35.883344,-97.439827,0.92,street_center,"W Logan Ave",,"Guthrie, OK 73044",,"W Logan Ave",,,Guthrie,OK,"Logan County",73044,US,"TIGER/Line® dataset from the US Census Bureau"
"MINNEHAHA COUNTY JAIL","SIOUX FALLS",SD,57104,"USMS IGA",FALSE,COUNTY,,1,08/04/2025,43.525178,-96.757176,0.92,street_center,"W Minnehaha Dr",,"Sioux Falls, SD 57105",,"W Minnehaha Dr",,,"Sioux Falls",SD,"Minnehaha County",57105,US,"TIGER/Line® dataset from the US Census Bureau"
"MONTGOMERY COUNTY JAIL",FONDA,NY,12068,IGSA,FALSE,COUNTY,,1,08/04/2025,42.95452,-74.37652,1,place,,,"Fonda, NY 12068",,,,,Fonda,NY,"Montgomery County",12068,US,"TIGER/Line® dataset from the US Census Bureau"
"NEW HANOVER COUNTY JAIL","CASTLE HAYNE",NC,28429,"USMS IGA",FALSE,COUNTY,,1,08/04/2025,34.329932,-77.887477,1,place,,,"Castle Hayne, NC 28429",,,,,"Castle Hayne",NC,"New Hanover County",28429,US,"TIGER/Line® dataset from the US Census Bureau"
"SAUK COUNTY SHERIFF",BARABOO,WI,53913,"USMS IGA",FALSE,COUNTY,,1,08/04/2025,43.47109,-89.74429,1,place,,,"Baraboo, WI 53913",,,,,Baraboo,WI,"Sauk County",53913,US,"TIGER/Line® dataset from the US Census Bureau"
"SEBASTIAN COUNTY DETENTION CENTER","FORT SMITH",AR,72901,"USMS IGA",FALSE,COUNTY,,1,08/04/2025,35.366188,-94.416458,1,place,,,"Fort Smith, AR 72901",,,,,"Fort Smith",AR,"Sebastian County",72901,US,"TIGER/Line® dataset from the US Census Bureau"
"WAUKESHA COUNTY JAIL",WAUKESHA,WI,53186,"USMS IGA",FALSE,COUNTY,,1,08/04/2025,43.022155,-88.204676,1,place,,,"Waukesha, WI 53186",,,,,Waukesha,WI,"Waukesha County",53186,US,"TIGER/Line® dataset from the US Census Bureau"
"DOUGLAS COUNTY",SUPERIOR,WI,54880,"USMS IGA",FALSE,COUNTY,,0,08/04/2025,46.574982,-92.117578,1,place,,,"Superior, WI 54880",,,,,Superior,WI,"Douglas County",54880,US,"TIGER/Line® dataset from the US Census Bureau"
"ELMORE COUNTY JAIL","MOUNTAIN HOME",ID,83647,"USMS IGA",FALSE,COUNTY,,0,08/04/2025,43.156195,-115.720455,1,place,,,"Mountain Home, ID 83647",,,,,"Mountain Home",ID,"Elmore County",83647,US,"TIGER/Line® dataset from the US Census Bureau"
